parent folder,file name,modality,Radiologist Score,Err,kspace shape,reconstruction shape,kspace nan or inf count,reconstruction nan or inf count,kspace min,kspace max,kspace mean,kspace std,reconstruction min,reconstruction max,reconstruction mean,reconstruction std
MultiCoil,Center001_UIH_30T_umr780_P005_T1map.h5,T1map,5,,"(8, 3, 10, 510, 161)","(8, 3, 510, 161)",0,0,3.299477407,9249886.507,48086.14561,114621.4933,5026.790822,12985460.34,197364.8038,339927.6033
MultiCoil,Center001_UIH_30T_umr780_P005_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 380, 137)","(4, 3, 380, 137)",0,0,5.28909486,4494047.799,31594.93946,67493.44717,4685.855329,5634804.958,132952.0341,194575.9819
MultiCoil,Center001_UIH_30T_umr780_P005_T2map.h5,T2map,5,,"(3, 3, 10, 378, 157)","(3, 3, 378, 157)",0,0,3.416011916,4841375.635,37406.77799,80314.68118,2548.306033,10161039.22,139370.6893,243049.2985
MultiCoil,Center001_UIH_30T_umr780_P005_T2w.h5,T2w,4,,"(11, 10, 516, 201)","(11, 516, 201)",0,0,0.700516964,13966840.82,29619.98887,102259.2442,3630.540293,16983216.51,128384.5415,311223.9983
MultiCoil,Center001_UIH_30T_umr780_P006_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 448, 198)","(12, 1, 448, 198)",0,0,3.410673231,11555910.68,29079.89586,113732.4614,3082.563827,2480064.259,184486.7572,322136.2563
MultiCoil,Center001_UIH_30T_umr780_P006_cine_sax.h5,sax,5,,"(12, 13, 10, 448, 198)","(12, 13, 448, 198)",0,0,1.097792416,7195675.108,24470.66719,73970.482,3433.489312,2496511.839,125670.002,211923.3545
MultiCoil,Center001_UIH_30T_umr780_P006_lge_lax_2ch.h5,2ch,3,,"(2, 3, 10, 510, 209)","(2, 3, 510, 209)",0,0,3.701667074,10438904.0,19946.06287,64208.78719,3956.986152,2217097.188,106540.3129,183998.0964
MultiCoil,Center001_UIH_30T_umr780_P006_lge_lax_4ch.h5,4ch,5,,"(2, 1, 10, 512, 175)","(2, 1, 512, 175)",0,0,7.585633612,6466930.342,13842.50339,48674.42994,3806.855003,1019238.89,92860.24235,130326.9953
MultiCoil,Center001_UIH_30T_umr780_P006_perfusion.h5,perfusion,5,,"(50, 4, 10, 384, 131)","(50, 4, 384, 131)",0,0,0.659354534,3940149.917,15958.74631,39549.45136,2880.812231,891218.2563,80277.00701,108369.7791
MultiCoil,Center001_UIH_30T_umr780_P006_T1map.h5,T1map,5,,"(8, 3, 10, 512, 161)","(8, 3, 512, 161)",0,0,2.152693383,10678095.12,43477.58372,126697.2743,5379.248014,4655453.578,216766.5252,363919.3173
MultiCoil,Center001_UIH_30T_umr780_P006_T1mappost.h5,T1mappost,5,,"(9, 3, 10, 512, 161)","(9, 3, 512, 161)",0,0,6.459588454,15207926.72,44819.54366,130770.3698,5707.187951,4873513.584,225892.9281,374258.1944
MultiCoil,Center001_UIH_30T_umr780_P006_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 384, 137)","(4, 3, 384, 137)",0,0,4.601506797,5815398.38,28723.48558,73424.58234,3698.269463,2573527.576,134627.567,209851.1314
MultiCoil,Center001_UIH_30T_umr780_P006_T2map.h5,T2map,5,,"(3, 3, 10, 384, 157)","(3, 3, 384, 157)",0,0,8.05836181,5655788.432,29740.99198,80603.0231,2950.54376,3128617.535,140800.6995,232355.1213
MultiCoil,Center001_UIH_30T_umr780_P006_T2smap.h5,T2smap,4,,"(8, 3, 10, 418, 141)","(8, 3, 418, 141)",0,0,6.035226467,7378568.721,26697.13131,66075.93587,4336.739628,2275962.377,128782.7136,184939.6493
MultiCoil,Center001_UIH_30T_umr780_P006_T2w.h5,T2w,5,,"(13, 10, 512, 248)","(13, 512, 248)",0,0,0.0,8611036.536,32228.32624,103876.6808,4185.057351,17920904.23,132229.2424,317499.1744
MultiCoil,Center001_UIH_30T_umr780_P008_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 444, 198)","(12, 1, 444, 198)",0,0,4.035980227,5412697.298,34690.63364,92924.92501,3328.825094,4767987.998,134012.1219,283594.0209
MultiCoil,Center001_UIH_30T_umr780_P008_cine_lax_4ch.h5,4ch,4.0,,"(12, 1, 10, 448, 198)","(12, 1, 448, 198)",0,0,5.697078267,6655043.02,36423.56532,101076.76,2919.171945,2888499.685,153338.3768,303181.8224
MultiCoil,Center001_UIH_30T_umr780_P008_cine_sax.h5,sax,5,,"(12, 2, 10, 446, 198)","(12, 2, 446, 198)",0,0,1.564586549,4355715.641,27631.18237,72879.84177,3969.758469,3303514.313,128188.7004,210516.4907
MultiCoil,Center001_UIH_30T_umr780_P008_T1map.h5,T1map,5,,"(8, 3, 10, 512, 161)","(8, 3, 512, 161)",0,0,3.937626575,9661124.342,63505.73908,115595.3658,6469.63198,18096647.26,194381.2117,369010.3243
MultiCoil,Center001_UIH_30T_umr780_P008_T1rho.h5,T1rho,3.0,,"(4, 3, 10, 380, 137)","(4, 3, 380, 137)",0,0,1.373748566,6185379.86,31733.70678,61831.5115,4695.987278,5547934.871,126529.2592,179699.7111
MultiCoil,Center001_UIH_30T_umr780_P008_T2w.h5,T2w,3,,"(11, 10, 512, 286)","(11, 512, 286)",0,0,0.0,16127290.25,30785.96118,108735.5956,3362.612007,24697363.75,123956.4524,335181.8154
MultiCoil,Center001_UIH_30T_umr780_P009_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 444, 198)","(12, 1, 444, 198)",0,0,3.586098809,10148028.39,34441.70464,131115.0148,3262.048034,3738258.248,195180.9255,381678.1202
MultiCoil,Center001_UIH_30T_umr780_P009_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 450, 198)","(12, 1, 450, 198)",0,0,4.893996282,8092024.397,34358.76697,122769.9502,2752.747221,2954534.333,185684.5446,357842.2911
MultiCoil,Center001_UIH_30T_umr780_P009_cine_sax.h5,sax,5,,"(12, 11, 10, 446, 198)","(12, 11, 446, 198)",0,0,1.323735701,10817811.15,32239.69526,89827.06256,3435.073655,6319486.911,155448.3965,258686.6583
MultiCoil,Center001_UIH_30T_umr780_P009_lge_lax_2ch.h5,2ch,4,,"(2, 1, 10, 514, 175)","(2, 1, 514, 175)",0,0,9.379110092,7207986.134,15114.47376,51294.57819,3253.068767,1304747.845,98438.48548,137497.91
MultiCoil,Center001_UIH_30T_umr780_P009_lge_lax_4ch.h5,4ch,5,,"(2, 1, 10, 516, 175)","(2, 1, 516, 175)",0,0,6.012127742,3855134.652,14430.42177,46419.63832,3904.684401,1447541.144,82712.84467,129571.5411
MultiCoil,Center001_UIH_30T_umr780_P009_perfusion.h5,perfusion,5,,"(50, 4, 10, 382, 131)","(50, 4, 382, 131)",0,0,0.413748506,3744843.803,19405.56682,43633.42285,3488.224807,2326780.038,87835.71106,122838.9352
MultiCoil,Center001_UIH_30T_umr780_P009_T1map.h5,T1map,5,,"(8, 3, 10, 512, 173)","(8, 3, 512, 173)",0,0,4.390179017,11439126.64,70058.88009,145496.3171,5645.674897,13612596.84,231418.8039,455213.7814
MultiCoil,Center001_UIH_30T_umr780_P009_T1mappost.h5,T1mappost,4,wringing (all P009),"(9, 3, 10, 512, 161)","(9, 3, 512, 161)",0,0,6.602756784,11083312.7,62569.48141,128290.9102,6192.722087,11082540.88,223103.6431,392377.0392
MultiCoil,Center001_UIH_30T_umr780_P009_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 382, 149)","(4, 3, 382, 149)",0,0,5.825073878,6556419.504,47888.13666,94788.71775,4107.564212,7677556.053,163149.8405,293536.8392
MultiCoil,Center001_UIH_30T_umr780_P009_T2map.h5,T2map,5,,"(3, 3, 10, 386, 165)","(3, 3, 386, 165)",0,0,8.442839664,6433771.671,45874.58999,93295.25384,2881.977664,8713239.803,158798.7507,287867.6445
MultiCoil,Center001_UIH_30T_umr780_P009_T2w.h5,T2w,3,,"(11, 10, 512, 286)","(11, 512, 286)",0,0,0.0,22355550.9,41435.37387,153737.7611,3537.376936,52450717.52,163150.6672,476344.1547
MultiCoil,Center001_UIH_30T_umr780_P010_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 446, 198)","(12, 1, 446, 198)",0,0,4.052722746,7811511.263,29010.95766,110813.8897,3193.787103,3962069.918,152100.1964,328753.8111
MultiCoil,Center001_UIH_30T_umr780_P010_cine_sax.h5,sax,5,,"(12, 11, 10, 444, 198)","(12, 11, 444, 198)",0,0,1.01363271,7309395.464,31066.53631,96981.00542,3237.175447,3282267.584,165953.5596,275978.019
MultiCoil,Center001_UIH_30T_umr780_P010_lge_lax_2ch.h5,2ch,5,,"(2, 1, 10, 508, 175)","(2, 1, 508, 175)",0,0,2.222342812,4742235.007,13258.24534,41436.27394,3789.15997,772736.9435,88733.47781,105137.1894
MultiCoil,Center001_UIH_30T_umr780_P010_lge_lax_4ch.h5,4ch,5,,"(2, 1, 10, 512, 175)","(2, 1, 512, 175)",0,0,8.439243073,4742254.164,12962.30327,41935.15329,3880.949216,962768.0459,82353.51113,111730.4036
MultiCoil,Center001_UIH_30T_umr780_P010_perfusion.h5,perfusion,5,,"(50, 4, 10, 382, 131)","(50, 4, 382, 131)",0,0,0.598317854,5035976.246,16895.60595,44038.9718,2792.836262,1202266.869,87545.81894,120766.9448
MultiCoil,Center001_UIH_30T_umr780_P010_T1map.h5,T1map,5,,"(8, 3, 10, 508, 161)","(8, 3, 508, 161)",0,0,5.266108553,10851455.4,45244.48709,128653.969,5148.266011,4421213.812,225175.2234,367811.3542
MultiCoil,Center001_UIH_30T_umr780_P010_T1mappost.h5,T1mappost,5,,"(9, 3, 10, 510, 161)","(9, 3, 510, 161)",0,0,5.590764059,12591687.29,46207.06896,124787.2037,5454.737892,4081970.198,223905.1233,356280.6337
MultiCoil,Center001_UIH_30T_umr780_P010_T2map.h5,T2map,5,,"(3, 3, 10, 382, 157)","(3, 3, 382, 157)",0,0,9.27004548,7194796.279,32996.6058,85029.63751,2478.269864,3280614.855,155573.4089,242868.4148
MultiCoil,Center001_UIH_30T_umr780_P010_T2w.h5,T2w,3,,"(11, 10, 512, 248)","(11, 512, 248)",0,0,0.0,15964408.01,27581.24298,126306.7432,3649.692464,12913789.85,145260.5248,382152.5392
MultiCoil,Center001_UIH_30T_umr780_P011_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 448, 198)","(12, 1, 448, 198)",0,0,2.925117375,6945424.839,23617.89904,83162.55324,2900.28055,2601635.326,110683.8912,249974.4595
MultiCoil,Center001_UIH_30T_umr780_P011_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 450, 198)","(12, 1, 450, 198)",0,0,1.343985175,6452908.238,26985.83656,87110.28187,3255.893213,1878180.85,141982.2378,251008.7846
MultiCoil,Center001_UIH_30T_umr780_P011_cine_sax.h5,sax,5,,"(12, 9, 10, 446, 198)","(12, 9, 446, 198)",0,0,1.507829436,6131415.786,26369.13386,69991.42531,3285.240024,3407614.175,121271.858,203062.6624
MultiCoil,Center001_UIH_30T_umr780_P011_lge_lax_2ch.h5,2ch,5,,"(2, 1, 10, 512, 175)","(2, 1, 512, 175)",0,0,4.198899135,4449374.921,13129.05952,36963.29025,3368.902325,971406.6205,71797.79683,101151.6024
MultiCoil,Center001_UIH_30T_umr780_P011_lge_lax_4ch.h5,4ch,5,,"(2, 1, 10, 508, 211)","(2, 1, 508, 211)",0,0,1.893378169,3800442.433,12444.60479,36405.8018,3463.255408,1086544.409,67450.6755,101256.6655
MultiCoil,Center001_UIH_30T_umr780_P011_perfusion.h5,perfusion,5,,"(50, 4, 10, 384, 131)","(50, 4, 384, 131)",0,0,0.644781237,3756446.424,14133.7073,32395.00828,2646.31671,1069204.718,64473.00908,91297.39064
MultiCoil,Center001_UIH_30T_umr780_P011_T1map.h5,T1map,5,,"(8, 3, 10, 510, 161)","(8, 3, 510, 161)",0,0,7.976050744,9563823.86,48081.31297,115740.9922,5270.74604,4572278.448,205087.8458,339141.3788
MultiCoil,Center001_UIH_30T_umr780_P011_T1mappost.h5,T1mappost,5,,"(9, 3, 10, 506, 161)","(9, 3, 506, 161)",0,0,3.409814566,9626887.656,52901.619,128336.5675,4969.633158,4996196.123,221644.9329,378895.8726
MultiCoil,Center001_UIH_30T_umr780_P011_T1rho.h5,T1rho,5.0,,"(16, 3, 10, 382, 137)","(16, 3, 382, 137)",0,0,0.72301048,9644959.668,31333.79232,85756.79145,3578.240779,3378095.585,151380.8104,245853.9982
MultiCoil,Center001_UIH_30T_umr780_P011_T2map.h5,T2map,5,,"(3, 3, 10, 378, 157)","(3, 3, 378, 157)",0,0,3.956813733,5697198.875,34200.94777,78799.664,2777.989427,2666000.62,139983.6574,232799.2578
MultiCoil,Center001_UIH_30T_umr780_P011_T2smap.h5,T2smap,3,,"(8, 3, 10, 424, 141)","(8, 3, 424, 141)",0,0,3.344572493,5568374.815,26147.17793,59963.17081,4241.687493,2439885.839,115763.8948,171438.8763
MultiCoil,Center001_UIH_30T_umr780_P011_T2w.h5,T2w,4,,"(9, 10, 512, 248)","(9, 512, 248)",0,0,0.0,8810478.783,40109.19328,121883.7279,3728.440084,21120953.6,138829.9496,381274.3764
MultiCoil,Center001_UIH_30T_umr780_P013_cine_lax_3ch.h5,3ch,4,,"(12, 1, 10, 442, 198)","(12, 1, 442, 198)",0,0,2.036477666,5621274.06,24563.22864,66273.51556,3769.236073,2805356.673,92393.68384,203515.8909
MultiCoil,Center001_UIH_30T_umr780_P013_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 442, 198)","(12, 1, 442, 198)",0,0,5.343919051,5777398.476,26053.33053,65967.10548,3313.384632,1994370.544,110460.0207,195199.729
MultiCoil,Center001_UIH_30T_umr780_P013_cine_sax.h5,sax,5,,"(12, 11, 10, 448, 198)","(12, 11, 448, 198)",0,0,1.073216236,5358233.271,27173.12303,66974.55231,3899.272929,4884457.361,106391.9489,202288.0271
MultiCoil,Center001_UIH_30T_umr780_P013_T1map.h5,T1map,5,,"(8, 3, 10, 514, 161)","(8, 3, 514, 161)",0,0,3.412630611,14334802.16,46887.49129,125652.6561,6288.368191,5790609.792,217618.6236,364022.5306
MultiCoil,Center001_UIH_30T_umr780_P013_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 382, 137)","(4, 3, 382, 137)",0,0,6.893418955,6395458.105,28348.32797,72809.40121,4184.481746,2686191.672,131640.7174,209091.0987
MultiCoil,Center001_UIH_30T_umr780_P013_T2map.h5,T2map,5,,"(3, 3, 10, 386, 157)","(3, 3, 386, 157)",0,0,11.15006203,10444648.1,29747.81964,78030.4676,2814.61155,3742490.039,121388.114,234524.6091
MultiCoil,Center001_UIH_30T_umr780_P013_T2w.h5,T2w,3,,"(11, 10, 512, 248)","(11, 512, 248)",0,0,0.0,7724083.517,22599.2042,78170.55301,3754.209935,14816621.77,88844.31111,241495.926
MultiCoil,Center001_UIH_30T_umr780_P014_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 440, 198)","(12, 1, 440, 198)",0,0,2.347212436,7344355.28,35379.82184,101152.9362,3305.16983,3283269.771,159098.2438,299206.0021
MultiCoil,Center001_UIH_30T_umr780_P014_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 448, 198)","(12, 1, 448, 198)",0,0,7.113708052,8248304.433,35350.07959,108088.3178,3202.509513,2654533.373,173098.6108,315220.5525
MultiCoil,Center001_UIH_30T_umr780_P014_cine_sax.h5,sax,5,,"(12, 3, 10, 446, 198)","(12, 3, 446, 198)",0,0,1.243729774,4933066.95,28444.38373,62523.2964,3635.519044,3482311.59,112518.9808,185800.7926
MultiCoil,Center001_UIH_30T_umr780_P014_lge_lax_2ch.h5,2ch,,,"(2, 1, 10, 510, 175)","(2, 1, 510, 175)",0,0,7.471640301,5568992.02,15586.50676,50720.13694,3806.99597,1359052.614,100146.8074,134630.3525
MultiCoil,Center001_UIH_30T_umr780_P014_lge_lax_4ch.h5,4ch,4,,"(2, 1, 10, 518, 175)","(2, 1, 518, 175)",0,0,3.728043314,5172727.129,15827.79457,49471.77126,3694.929241,1106001.384,95875.82036,133370.0843
MultiCoil,Center001_UIH_30T_umr780_P014_perfusion.h5,perfusion,5,,"(50, 4, 10, 382, 145)","(50, 4, 382, 145)",0,0,0.791940783,4242271.522,17218.597,36888.2632,3430.660334,2217352.227,68730.90177,108849.9131
MultiCoil,Center001_UIH_30T_umr780_P014_T1map.h5,T1map,5,,"(8, 3, 10, 512, 161)","(8, 3, 512, 161)",0,0,1.875102007,9545481.738,56592.36494,130810.7612,6216.064772,9476007.889,223039.7707,391656.4448
MultiCoil,Center001_UIH_30T_umr780_P014_T1mappost.h5,T1mappost,5,,"(9, 3, 10, 514, 161)","(9, 3, 514, 161)",0,0,3.913294581,10604860.88,58382.84378,129648.9936,5836.364143,9599907.238,226141.7113,388631.0669
MultiCoil,Center001_UIH_30T_umr780_P014_T1rho.h5,T1rho,5.0,,"(3, 1, 10, 382, 137)","(3, 1, 382, 137)",0,0,14.31963472,3574256.06,37059.72107,70411.07152,3051.995758,4350556.505,138607.4601,209998.5505
MultiCoil,Center001_UIH_30T_umr780_P014_T2map.h5,T2map,5,,"(3, 3, 10, 384, 157)","(3, 3, 384, 157)",0,0,4.601297157,5264432.486,37864.07445,82440.72308,3100.769753,6368550.338,146155.4419,246860.6821
MultiCoil,Center001_UIH_30T_umr780_P014_T2w.h5,T2w,3,,"(13, 10, 512, 248)","(13, 512, 248)",0,0,0.0,15643884.33,29563.82916,104467.2234,3766.068666,21943985.1,131869.0548,316993.3122
MultiCoil,Center001_UIH_30T_umr780_P015_cine_lax_3ch.h5,3ch,3,,"(12, 1, 10, 440, 198)","(12, 1, 440, 198)",0,0,1.561239119,6385465.883,28245.3817,84719.08562,3623.526002,3131774.965,115081.8857,257890.3064
MultiCoil,Center001_UIH_30T_umr780_P015_cine_sax.h5,sax,3,,"(12, 11, 10, 434, 198)","(12, 11, 434, 198)",0,0,1.152574635,5704157.365,29353.54816,75919.54328,3569.280553,4774964.704,116100.4104,229727.6064
MultiCoil,Center001_UIH_30T_umr780_P015_T1map.h5,T1map,5,,"(8, 3, 10, 520, 161)","(8, 3, 520, 161)",0,0,5.199452113,12673766.98,58172.10958,153668.6398,5571.020731,6826532.893,248967.9044,456065.1649
MultiCoil,Center001_UIH_30T_umr780_P015_T2map.h5,T2map,4,,"(3, 3, 10, 382, 157)","(3, 3, 382, 157)",0,0,10.61915115,8369891.597,36825.07405,91846.42817,3088.253096,4271920.482,141648.584,279023.6605
MultiCoil,Center001_UIH_30T_umr780_P017_cine_lax_3ch.h5,3ch,5,,"(12, 1, 10, 448, 198)","(12, 1, 448, 198)",0,0,3.184469163,5520791.224,24818.801,81108.35776,2940.094442,2518567.662,111574.953,243918.8711
MultiCoil,Center001_UIH_30T_umr780_P017_cine_lax_4ch.h5,4ch,5.0,,"(12, 1, 10, 444, 198)","(12, 1, 444, 198)",0,0,4.715506641,6346656.137,27069.83047,86818.09435,2825.371641,2367535.063,139740.1993,251344.8805
MultiCoil,Center001_UIH_30T_umr780_P017_cine_sax.h5,sax,5,,"(12, 11, 10, 446, 198)","(12, 11, 446, 198)",0,0,1.518917792,5358981.153,29153.2535,72936.79249,3021.102842,3537667.498,127859.0113,212952.934
MultiCoil,Center001_UIH_30T_umr780_P017_T1map.h5,T1map,5,,"(8, 3, 10, 510, 161)","(8, 3, 510, 161)",0,0,1.018749313,9668726.711,48547.47083,117954.8694,5931.497331,5896512.353,207318.5365,346007.3782
MultiCoil,Center001_UIH_30T_umr780_P017_T1rho.h5,T1rho,5.0,,"(4, 3, 10, 382, 137)","(4, 3, 382, 137)",0,0,4.363025136,5031906.796,30228.58096,67496.90025,3998.202506,2641303.39,132903.2837,192438.831
